ETS_path,Maintenance_coefficient,ATPM_bound_value,Growth_Rate,O2_concentration
NII_CO_F,0.9,500.0,0.0,12
NII_CO_F,0.9,499.74987493746875,0.0,12
NII_CO_F,0.9,499.4997498749375,0.0,12
NII_CO_F,0.9,499.24962481240624,0.0,12
NII_CO_F,0.9,498.999499749875,0.0,12
NII_CO_F,0.9,498.74937468734373,0.0,12
NII_CO_F,0.9,498.4992496248124,0.0,12
NII_CO_F,0.9,498.24912456228117,0.0,12
NII_CO_F,0.9,497.9989994997499,0.0,12
NII_CO_F,0.9,497.74887443721866,0.0,12
NII_CO_F,0.9,497.4987493746874,0.0,12
NII_CO_F,0.9,497.2486243121561,0.0,12
NII_CO_F,0.9,496.99849924962484,0.0,12
NII_CO_F,0.9,496.7483741870936,0.0,12
NII_CO_F,0.9,496.49824912456234,0.0,12
NII_CO_F,0.9,496.248124062031,0.0,12
NII_CO_F,0.9,495.99799899949977,0.0,12
NII_CO_F,0.9,495.7478739369685,0.0,12
NII_CO_F,0.9,495.49774887443726,0.0,12
NII_CO_F,0.9,495.247623811906,0.0,12
NII_CO_F,0.9,494.9974987493747,0.0,12
NII_CO_F,0.9,494.74737368684345,0.0,12
NII_CO_F,0.9,494.4972486243122,0.0,12
NII_CO_F,0.9,494.24712356178094,0.0,12
NII_CO_F,0.9,493.9969984992497,0.0,12
NII_CO_F,0.9,493.7468734367184,0.0,12
NII_CO_F,0.9,493.4967483741871,0.0,12
NII_CO_F,0.9,493.24662331165587,0.0,12
NII_CO_F,0.9,492.9964982491246,0.0,12
NII_CO_F,0.9,492.74637318659336,0.0,12
NII_CO_F,0.9,492.49624812406205,0.0,12
NII_CO_F,0.9,492.2461230615308,0.0,12
NII_CO_F,0.9,491.99599799899954,0.0,12
NII_CO_F,0.9,491.7458729364683,0.0,12
NII_CO_F,0.9,491.495747873937,0.0,12
NII_CO_F,0.9,491.2456228114057,0.0,12
NII_CO_F,0.9,490.99549774887447,0.0,12
NII_CO_F,0.9,490.7453726863432,0.0,12
NII_CO_F,0.9,490.49524762381196,0.0,12
